Data,x,y,pin1,pin2,pin3,pin4,pin5,
Data,39,-37,0,0,0,0,0,

Data,28,-37,0,0,0,0,0,

Data,23,-37,0,0,0,0,0,

Data,10,-37,0,0,0,0,0,

Data,6,-37,0,0,0,0,0,

Data,-4,-37,0,0,0,0,0,

Data,-6,-37,0,0,0,0,0,

Data,-15,-37,0,0,0,0,0,

Data,-19,-37,0,0,0,0,0,

Data,-30,-37,0,0,0,0,0,

Data,-32,-37,0,0,0,0,0,

Data,-41,-37,0,0,0,0,0,

Data,-43,-37,0,0,0,0,0,

Data,-52,-37,0,0,0,0,0,

Data,-52,-37,0,0,0,0,0,

Data,-56,-37,0,0,0,0,0,

Data,-56,-37,0,0,0,0,0,

Data,-56,-37,0,0,0,0,0,

Data,-56,-37,0,0,0,0,0,

Data,-55,-37,0,0,0,0,0,

Data,-56,-37,0,0,0,0,0,

Data,-56,-37,0,0,0,0,0,

Data,-56,-37,0,0,0,0,0,

Data,-56,-37,0,0,0,0,0,

Data,-56,-37,0,0,0,0,0,

Data,-56,-37,0,0,0,0,0,

Data,-56,-37,0,0,0,0,0,

Data,-56,-37,0,0,0,0,0,

Data,-56,-37,0,0,0,0,0,

Data,-56,-37,0,0,0,0,0,

Data,-56,-37,0,0,0,0,0,

Data,-56,-37,0,0,0,0,0,

Data,-56,-37,0,0,0,0,0,

Data,-56,-37,0,0,0,0,0,

Data,-56,-37,0,0,0,0,0,

Data,-56,-37,0,0,0,0,0,

Data,-56,-37,0,0,0,0,0,

Data,-56,-37,0,0,0,0,0,

Data,-56,-37,0,0,0,0,0,

Data,-56,-37,0,0,0,0,0,

Data,-56,-37,0,0,0,0,0,

Data,-56,-37,0,0,0,0,0,

Data,-56,-37,0,0,0,0,0,

Data,-56,-37,0,0,0,0,0,

Data,-56,-37,0,0,0,0,0,

Data,-56,-37,0,0,0,0,0,

Data,-56,-37,0,0,0,0,0,

Data,-56,-37,0,0,0,0,0,

Data,-56,-37,0,0,0,0,0,

Data,-56,-37,0,0,0,0,0,

Data,-56,-37,0,0,0,0,0,

Data,-56,-37,0,0,0,0,0,

Data,-56,-37,0,0,0,0,0,

Data,-56,-37,0,0,0,0,0,

Data,-56,-37,0,0,0,0,0,

Data,-56,-37,0,0,0,0,0,

Data,-56,-37,0,0,0,0,0,

Data,-56,-37,0,0,0,0,0,

Data,-56,-37,0,0,0,0,0,

Data,-56,-37,0,0,0,0,0,

Data,-56,-37,0,0,0,0,0,

Data,-56,-37,0,0,0,0,0,

Data,-56,-37,0,0,0,0,0,

Data,-56,-37,0,0,0,0,0,

Data,-56,-37,0,0,0,0,0,

Data,-56,-37,0,0,0,0,0,

Data,-56,-37,0,0,0,0,0,

Data,-56,-37,0,0,0,0,0,

Data,-56,-37,0,0,0,0,0,

Data,-56,-37,0,0,0,0,0,

Data,-56,-37,0,0,0,0,0,

Data,-56,-37,0,0,0,0,0,

Data,-56,-37,0,0,0,0,0,

Data,-56,-37,0,0,0,0,0,

Data,-56,-37,0,0,0,0,0,

Data,-56,-37,0,0,0,0,0,

Data,-56,-37,0,0,0,0,0,

Data,-56,-37,0,0,0,0,0,

Data,-56,-37,0,0,0,0,0,

Data,-56,-37,0,0,0,0,0,

Data,-56,-37,0,0,0,0,0,

Data,-56,-37,0,0,0,0,0,

Data,-56,-37,0,0,0,0,0,

Data,-56,-37,0,0,0,0,0,

Data,-56,-37,0,0,0,0,0,

Data,-56,-37,0,0,0,0,0,

Data,-56,-37,0,0,0,0,0,

Data,-56,-37,0,0,0,0,0,

Data,-56,-37,0,0,0,0,0,

Data,-56,-37,0,0,0,0,0,

Data,-56,-37,0,0,0,0,0,

Data,-56,-37,0,0,0,0,0,

Data,-56,-37,0,0,0,0,0,

Data,-56,-37,0,0,0,0,0,

Data,-56,-37,0,0,0,0,0,

Data,-56,-37,0,0,0,0,0,

Data,-56,-37,0,0,0,0,0,

Data,-56,-37,0,0,0,0,0,

Data,-56,-37,0,0,0,0,0,

Data,-56,-37,0,0,0,0,0,

Data,-56,-37,0,0,0,0,0,

Data,-56,-37,0,0,0,0,0,

Data,-56,-37,0,0,0,0,0,

Data,-56,-37,0,0,0,0,0,

Data,-56,-37,0,0,0,0,0,

Data,-56,-37,0,0,0,0,0,

Data,-56,-37,0,0,0,0,0,

Data,-56,-37,0,0,0,0,0,

Data,-56,-37,0,0,0,0,0,

Data,-56,-37,0,0,0,0,0,

Data,-56,-37,0,0,0,0,0,

Data,-56,-37,0,0,0,0,0,

Data,-55,-37,0,0,0,0,0,

Data,-56,-37,0,0,0,0,0,

Data,-56,-37,0,0,0,0,0,

Data,-56,-37,0,0,0,0,0,

Data,-56,-37,0,0,0,0,0,

Data,-56,-37,0,0,0,0,0,

Data,-56,-37,0,0,0,0,0,

Data,-56,-37,0,0,0,0,0,

Data,-56,-37,0,0,0,0,0,

Data,-56,-38,0,0,0,0,0,

Data,-56,-37,0,0,0,0,0,

Data,-56,-37,0,0,0,0,0,

Data,-56,-37,0,0,0,0,0,

Data,-56,-37,0,0,0,0,0,

Data,-56,-37,0,0,0,0,0,

Data,-56,-37,0,0,0,0,0,

Data,-56,-37,0,0,0,0,0,

Data,-56,-37,0,0,0,0,0,

Data,-56,-37,0,0,0,0,0,

Data,-56,-37,0,0,0,0,0,

Data,-56,-37,0,0,0,0,0,

Data,-56,-37,0,0,0,0,0,

Data,-56,-37,0,0,0,0,0,

Data,-56,-37,0,0,0,0,0,

Data,-56,-37,0,0,0,0,0,

Data,-56,-37,0,0,0,0,0,

Data,-56,-37,0,0,0,0,0,

Data,-56,-37,0,0,0,0,0,

Data,-56,-37,0,0,0,0,0,

Data,-56,-37,0,0,0,0,0,

Data,-56,-37,0,0,0,0,0,

Data,-56,-37,0,0,0,0,0,

Data,-56,-37,0,0,0,0,0,

