Data,x,y,b1,b2,b3,b4,b5,
Data,98,-35,0,0,0,0,0,

Data,76,-36,0,0,0,0,0,

Data,84,-36,0,0,0,0,0,

Data,61,-36,0,0,0,0,0,

Data,70,-36,0,0,0,0,0,

Data,47,-36,0,0,0,0,0,

Data,54,-36,0,0,0,0,0,

Data,30,-36,0,0,0,0,0,

Data,39,-36,0,0,0,0,0,

Data,17,-36,0,0,0,0,0,

Data,29,-36,0,0,0,0,0,

Data,4,-36,0,0,0,0,0,

Data,15,-36,0,0,0,0,0,

Data,-7,-36,0,0,0,0,0,

Data,6,-36,0,0,0,0,0,

Data,-11,-36,0,0,0,0,0,

Data,4,-36,0,0,0,0,0,

Data,-15,-36,0,0,0,0,0,

Data,-1,-36,0,0,0,0,0,

Data,-28,-36,0,0,0,0,0,

Data,-13,-36,0,0,0,0,0,

Data,-34,-36,0,0,0,0,0,

Data,-18,-36,0,0,0,0,0,

Data,-36,-36,0,0,0,0,0,

Data,-17,-36,0,0,0,0,0,

Data,-35,-36,0,0,0,0,0,

Data,-18,-36,0,0,0,0,0,

Data,-36,-36,0,0,0,0,0,

Data,-20,-36,0,0,0,0,0,

Data,-41,-36,0,0,0,0,0,

Data,-26,-36,0,0,0,0,0,

Data,-47,-36,0,0,0,0,0,

Data,-32,-36,0,0,0,0,0,

Data,-46,-36,0,0,0,0,0,

Data,-31,-36,0,0,0,0,0,

Data,-50,-36,0,0,0,0,0,

Data,-36,-36,0,0,0,0,0,

Data,-55,-36,0,0,0,0,0,

Data,-46,-36,0,0,0,0,0,

Data,-54,-36,0,0,0,0,0,

Data,-51,-36,0,0,0,0,0,

Data,-54,-36,0,0,0,0,0,

Data,-54,-36,0,0,0,0,0,

Data,-54,-36,0,0,0,0,0,

Data,-54,-36,0,0,0,0,0,

Data,-54,-36,0,0,0,0,0,

Data,-54,-36,0,0,0,0,0,

Data,-54,-36,0,0,0,0,0,

Data,-54,-36,0,0,0,0,0,

Data,-55,-36,0,0,0,0,0,

Data,-54,-36,0,0,0,0,0,

Data,-55,-36,0,0,0,0,0,

Data,-54,-36,0,0,0,0,0,

Data,-54,-36,0,0,0,0,0,

Data,-54,-36,0,0,0,0,0,

Data,-56,-36,0,0,0,0,0,

Data,-54,-36,0,0,0,0,0,

Data,-55,-36,0,0,0,0,0,

Data,-54,-36,0,0,0,0,0,

Data,-54,-36,0,0,0,0,0,

Data,-54,-36,0,0,0,0,0,

Data,-55,-36,0,0,0,0,0,

Data,-54,-36,0,0,0,0,0,

Data,-54,-36,0,0,0,0,0,

Data,-54,-36,0,0,0,0,0,

Data,-55,-36,0,0,0,0,0,

Data,-54,-36,0,0,0,0,0,

Data,-54,-36,0,0,0,0,0,

Data,-54,-36,0,0,0,0,0,

Data,-54,-36,0,0,0,0,0,

Data,-55,-36,0,0,0,0,0,

Data,-55,-36,0,0,0,0,0,

Data,-54,-36,0,0,0,0,0,

Data,-55,-36,0,0,0,0,0,

Data,-54,-36,0,0,0,0,0,

Data,-55,-36,0,0,0,0,0,

Data,-55,-36,0,0,0,0,0,

Data,-54,-36,0,0,0,0,0,

Data,-54,-36,0,0,0,0,0,

Data,-55,-36,0,0,0,0,0,

Data,-54,-36,0,0,0,0,0,

Data,-55,-36,0,0,0,0,0,

Data,-54,-36,0,0,0,0,0,

Data,-54,-36,0,0,0,0,0,

Data,-55,-36,0,0,0,0,0,

Data,-55,-36,0,0,0,0,0,

Data,-54,-36,0,0,0,0,0,

Data,-54,-36,0,0,0,0,0,

Data,-55,-36,0,0,0,0,0,

Data,-54,-36,0,0,0,0,0,

Data,-54,-36,0,0,0,0,0,

Data,-54,-36,0,0,0,0,0,

Data,-55,-36,0,0,0,0,0,

Data,-54,-36,0,0,0,0,0,

Data,-49,-36,0,0,0,0,0,

Data,-54,-36,0,0,0,0,0,

Data,-35,-36,0,0,0,0,0,

Data,-48,-36,0,0,0,0,0,

Data,-25,-36,0,0,0,0,0,

Data,-35,-36,0,0,0,0,0,

Data,-11,-36,0,0,0,0,0,

Data,-24,-36,0,0,0,0,0,

Data,-1,-36,0,0,0,0,0,

Data,-13,-36,0,0,0,0,0,

Data,7,-36,0,0,0,0,0,

Data,-9,-36,0,0,0,0,0,

Data,9,-36,0,0,0,0,0,

Data,-12,-36,0,0,0,0,0,

Data,8,-36,0,0,0,0,0,

Data,-6,-36,0,0,0,0,0,

Data,15,-36,0,0,0,0,0,

Data,3,-36,0,0,0,0,0,

Data,25,-36,0,0,0,0,0,

Data,14,-36,0,0,0,0,0,

Data,36,-36,0,0,0,0,0,

Data,25,-36,0,0,0,0,0,

Data,47,-36,0,0,0,0,0,

Data,32,-36,0,0,0,0,0,

Data,52,-36,0,0,0,0,0,

Data,33,-36,0,0,0,0,0,

Data,50,-36,0,0,0,0,0,

Data,30,-36,0,0,0,0,0,

Data,47,-36,0,0,0,0,0,

Data,32,-36,0,0,0,0,0,

Data,55,-36,0,0,0,0,0,

Data,45,-36,0,0,0,0,0,

Data,73,-36,0,0,0,0,0,

Data,70,-36,0,0,0,0,0,

Data,101,-36,0,0,0,0,0,

Data,94,-36,0,0,0,0,0,

Data,119,-36,0,0,0,0,0,

Data,111,-36,0,0,0,0,0,

Data,134,-36,0,0,0,0,0,

Data,125,-36,0,0,0,0,0,

Data,145,-36,0,0,0,0,0,

Data,132,-36,0,0,0,0,0,

Data,150,-36,0,0,0,0,0,

Data,139,-36,0,0,0,0,0,

Data,160,-36,0,0,0,0,0,

Data,155,-36,0,0,0,0,0,

Data,176,-36,0,0,0,0,0,

Data,167,-36,0,0,0,0,0,

Data,185,-36,0,0,0,0,0,

Data,176,-36,0,0,0,0,0,

Data,196,-36,0,0,0,0,0,

Data,185,-36,0,0,0,0,0,

Data,207,-36,0,0,0,0,0,

Data,200,-36,0,0,0,0,0,

Data,220,-36,0,0,0,0,0,

Data,214,-36,0,0,0,0,0,

Data,232,-36,0,0,0,0,0,

Data,224,-36,0,0,0,0,0,

Data,240,-36,0,0,0,0,0,

Data,232,-36,0,0,0,0,0,

Data,249,-36,0,0,0,0,0,

Data,238,-36,0,0,0,0,0,

Data,253,-36,0,0,0,0,0,

Data,241,-36,0,0,0,0,0,

Data,252,-36,0,0,0,0,0,

Data,235,-36,0,0,0,0,0,

